phase,TERMINAL_ARRIVAL,FINAL_APPROACH,DEPARTURE,ENROUTE_CLIMB,ENROUTE_DESCENT,CRUISE_OVERFLIGHT,LOW_LEVEL_TRANSIT,HOLDING_LOCAL,GROUND_LOCAL
TERMINAL_ARRIVAL,442,1,0,0,25,0,15,17,0
FINAL_APPROACH,0,461,6,0,0,0,0,32,1
DEPARTURE,0,0,476,15,0,0,1,8,0
ENROUTE_CLIMB,0,0,25,471,0,2,2,0,0
ENROUTE_DESCENT,10,0,0,0,483,0,7,0,0
CRUISE_OVERFLIGHT,0,0,0,16,8,476,0,0,0
LOW_LEVEL_TRANSIT,3,0,7,10,8,1,463,8,0
HOLDING_LOCAL,0,0,1,0,0,0,2,495,2
GROUND_LOCAL,0,5,0,0,0,0,0,2,493
UNKNOWN,6,222,18,3,4,0,107,112,28
