phase,TERMINAL_ARRIVAL,FINAL_APPROACH,DEPARTURE,ENROUTE_CLIMB,ENROUTE_DESCENT,CRUISE_OVERFLIGHT,LOW_LEVEL_TRANSIT,HOLDING_LOCAL,GROUND_LOCAL
TERMINAL_ARRIVAL,88.4,0.2,0.0,0.0,5.0,0.0,3.0,3.4,0.0
FINAL_APPROACH,0.0,92.2,1.2,0.0,0.0,0.0,0.0,6.4,0.2
DEPARTURE,0.0,0.0,95.2,3.0,0.0,0.0,0.2,1.6,0.0
ENROUTE_CLIMB,0.0,0.0,5.0,94.2,0.0,0.4,0.4,0.0,0.0
ENROUTE_DESCENT,2.0,0.0,0.0,0.0,96.6,0.0,1.4,0.0,0.0
CRUISE_OVERFLIGHT,0.0,0.0,0.0,3.2,1.6,95.2,0.0,0.0,0.0
LOW_LEVEL_TRANSIT,0.6,0.0,1.4,2.0,1.6,0.2,92.6,1.6,0.0
HOLDING_LOCAL,0.0,0.0,0.2,0.0,0.0,0.0,0.4,99.0,0.4
GROUND_LOCAL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,98.6
UNKNOWN,1.2,44.4,3.6,0.6,0.8,0.0,21.4,22.4,5.6
