segment_id,phase,model_best_phase,model_best_score,model_best_cluster,anomaly_score,is_anomaly
Dec 28 2025-a8ae7f-1766938889.29-1766939629.0-1489-fabd2747bb42,DEPARTURE,DEPARTURE,0.29954020634799366,0.0,0.29954020634799366,False
Dec 28 2025-a417c9-1766938011.79-1766938776.88-2421-48ca5c84d37b,DEPARTURE,DEPARTURE,0.2559650446993064,0.0,0.2559650446993064,False
Dec 27 2025-acb82c-1766847765.1-1766848676.05-629-9d5e9a4de708,DEPARTURE,DEPARTURE,0.21520985098223386,0.0,0.21520985098223386,False
a384f2-0-b47915b476a0,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ad2efa-1766894717.5-1766895419.44-3042-b7bd1e8e7184,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a8e262-1766853731.36-1766854527.74-1435-aeb63fdafbba,DEPARTURE,DEPARTURE,0.24019339048575128,0.0,0.24019339048575128,False
Dec 27 2025-ac74f9-1766799848.27-1766800631.7-3675-099fd2fde5dd,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a7dadc-1766954174.81-1766955100.63-2658-104f09e9959d,DEPARTURE,DEPARTURE,0.25924952115298655,0.0,0.25924952115298655,False
Dec 28 2025-a948c4-1766937193.94-1766938123.59-2375-474738f0d092,DEPARTURE,DEPARTURE,0.32487061496256325,0.0,0.32487061496256325,False
Dec 28 2025-a3b414-1766889677.35-1766890393.76-270-ae7d26a1f943,DEPARTURE,DEPARTURE,0.326385791745281,0.0,0.326385791745281,False
a23525-0-558ba4932db3,DEPARTURE,DEPARTURE,0.9722519191854544,0.0,0.9722519191854544,False
Dec 27 2025-abb54f-1766800228.32-1766800935.9-1181-550b66c1ef66,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a6a347-0-c7ae01fd3738,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a376d6-0-35afdeaf7f8e,DEPARTURE,DEPARTURE,0.5818248404099841,0.0,0.5818248404099841,False
ac01d3-0-dc35c33bdd18,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a2a54c-1766843517.42-1766845213.88-1122-c5591a443964,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a44d62-0-1dce874c5e02,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-448466-1766876251.64-1766877114.85-1487-b13c38661986,DEPARTURE,DEPARTURE,0.2860584779099055,0.0,0.2860584779099055,False
Dec 30 2025-ac119d-1767056939.15-1767059075.0-1410-01ee53e74d3f,DEPARTURE,DEPARTURE,0.7323296281387093,0.0,0.7323296281387093,False
Dec 28 2025-ac2b6c-1766939609.07-1766940630.17-1281-1ed61ceac70b,DEPARTURE,DEPARTURE,0.28096082549935864,0.0,0.28096082549935864,False
Dec 30 2025-add80b-1767120048.26-1767120327.96-131-794a34a3ac32,DEPARTURE,DEPARTURE,0.7644472204687464,0.0,0.7644472204687464,False
Dec 28 2025-a448fc-1766884108.86-1766884810.51-3057-b31eada545d2,DEPARTURE,DEPARTURE,0.27816965966881607,0.0,0.27816965966881607,False
Dec 27 2025-a41447-1766852848.61-1766853721.89-1024-0dd472854c1a,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a92e73-0-6a6cf170be98,DEPARTURE,DEPARTURE,0.7554389820413997,0.0,0.7554389820413997,False
