cluster,phase,purity,distribution
28,DEPARTURE,1.0,"{""DEPARTURE"": 1.0}"
44,DEPARTURE,1.0,"{""DEPARTURE"": 1.0}"
53,DEPARTURE,1.0,"{""DEPARTURE"": 1.0}"
36,DEPARTURE,0.75,"{""DEPARTURE"": 0.75, ""ENROUTE_CLIMB"": 0.25}"
41,DEPARTURE,0.7272727272727273,"{""DEPARTURE"": 0.7272727272727273, ""ENROUTE_CLIMB"": 0.2727272727272727}"
0,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
8,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
19,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
23,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
26,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
27,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
29,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
30,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
33,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
34,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
39,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
46,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
47,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
48,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
49,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
52,ENROUTE_CLIMB,1.0,"{""ENROUTE_CLIMB"": 1.0}"
2,ENROUTE_CLIMB,0.6,"{""DEPARTURE"": 0.4, ""ENROUTE_CLIMB"": 0.6}"
1,FINAL_ARRIVAL,1.0,"{""FINAL_ARRIVAL"": 1.0}"
22,FINAL_ARRIVAL,1.0,"{""FINAL_ARRIVAL"": 1.0}"
25,FINAL_ARRIVAL,1.0,"{""FINAL_ARRIVAL"": 1.0}"
50,FINAL_ARRIVAL,1.0,"{""FINAL_ARRIVAL"": 1.0}"
10,FINAL_ARRIVAL,0.873015873015873,"{""FINAL_ARRIVAL"": 0.873015873015873, ""TERMINAL_ARRIVAL"": 0.12698412698412698}"
43,FINAL_ARRIVAL,0.5714285714285714,"{""FINAL_ARRIVAL"": 0.5714285714285714, ""TERMINAL_ARRIVAL"": 0.42857142857142855}"
55,OUTER_ARRIVAL,1.0,"{""OUTER_ARRIVAL"": 1.0}"
56,OUTER_ARRIVAL,1.0,"{""OUTER_ARRIVAL"": 1.0}"
3,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
4,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
5,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
6,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
7,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
9,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
11,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
12,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
13,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
14,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
15,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
16,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
17,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
18,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
20,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
21,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
31,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
32,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
35,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
37,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
38,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
42,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
45,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
51,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
54,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
57,TERMINAL_ARRIVAL,1.0,"{""TERMINAL_ARRIVAL"": 1.0}"
24,TERMINAL_ARRIVAL,0.9411764705882353,"{""OUTER_ARRIVAL"": 0.058823529411764705, ""TERMINAL_ARRIVAL"": 0.9411764705882353}"
40,TERMINAL_ARRIVAL,0.8461538461538461,"{""FINAL_ARRIVAL"": 0.15384615384615385, ""TERMINAL_ARRIVAL"": 0.8461538461538461}"
